PA	Section	x0	FQ575N	F547M	Sum(E/W)_1	dSum_1	Strongest	E5755	dE5755	E/W 5755	k5755	kk5755	F5755	Sum(E/W)_2	dSum_2
-90	S30-15	-12.35	nan	nan	0.000224351205303	3.4338141897e-06	[O III] 5007 29%	3.8943585082	0.546769696876	0.211140822749	1.00978873546	1.00917818138	8.02536652695	0.0388298958102	0.0109334236352
-90	S60-15	-12.35	nan	nan	0.000203245924138	1.59623499322e-05	[O III] 5007 26%	3.88293906369	0.547191602346	0.21052169359	0.992137742623	1.01477423429	8.32277206483	0.0357570296417	0.0531235498156
-90	S90-15	-12.35	nan	nan	0.000198235088671	1.89373931532e-06	[O III] 5007 22%	5.11077609421	0.430584864491	0.27709145605	0.985538731342	0.990969532718	9.79350899062	0.0321321542111	0.00137749623162
-90	S30-16	0.65	nan	nan	0.000224251874273	3.13001410261e-06	[O III] 5007 30%	3.44913883847	0.490336487472	0.187002303614	1.02075833852	1.02517240394	6.97494095827	0.0373206646808	0.00180401422675
-90	S60-16	0.65	0.0783344073087	nan	0.00018393196712	1.05729651809e-06	[O III] 5007 23%	5.56139659498	0.421151019363	0.301522792579	0.986646182165	0.99408886341	10.6279082081	0.0314372373282	0.00230095388871
-90	S90-16	0.65	nan	nan	0.000205085445263	2.84387609277e-06	[O III] 5007 23%	4.53130126328	0.474780680261	0.245674011481	0.999171067942	1.00730178662	8.98180918039	0.0327102683402	0.00371269140739
-90	S30-17	13.65	nan	nan	0.000225227359328	1.56867021198e-06	[O III] 5007 27%	10.0358774921	0.700673234534	0.544116168613	1.01812159935	1.02099142814	24.2945867521	0.0425035519936	0.00507764587552
-90	S60-17	13.65	0.0898208188976	nan	0.000199590178005	1.28777158964e-06	[O III] 5007 22%	10.140764725	0.480397846837	0.549802850157	0.998393554117	1.0006574276	18.5147923643	0.0332174998789	0.00643005294314
-90	S90-17	13.65	nan	nan	0.000191119539444	1.13628351151e-06	[O III] 5007 24%	4.1115559102	0.460013336293	0.222916635906	0.999581779567	1.00526449445	6.33090050164	0.0306708509465	0.000982901591929
-90	S30-18	26.65	0.225406450166	4.43502713685	0.000230961625691	2.698628521e-06	[O III] 5007 24%	16.2099710736	0.52963710633	0.878857614679	1.01621685216	1.01497065183	47.9798395084	0.0411971485093	0.0175679396709
-90	S60-18	26.65	0.0844593213139	2.67940609931	0.000216480393525	1.07580440182e-06	[O III] 5007 25%	9.36694086629	0.491295845329	0.50784836501	1.00769845488	1.01177945306	19.257734839	0.0376657208193	0.0133567312973
-90	S90-18	26.65	nan	nan	0.000228299219095	1.10397604316e-06	[O III] 5007 26%	3.44660647884	0.466221211878	0.18686500642	1.00590322695	1.00467883435	5.71004808773	0.035459037018	0.00185670685244
-90	S30-19	39.65	0.152399651589	3.26383757847	0.000228917358506	1.19997412823e-06	H I 4861 23%	21.4059478531	0.44362866635	1.16056840476	1.01511495002	1.02381969906	69.4937780193	0.037952587851	0.00191436510056
-90	S60-19	39.65	0.0647762761527	1.97536348897	0.000211075123973	0.000198190497817	[O III] 5007 26%	6.39309034523	0.424762461732	0.346614815395	0.997901839446	1.00230401642	11.1288089823	0.0335188505824	0.00671472450714
-90	S90-19	39.65	nan	2.36274796344	0.000241554128401	1.16908245898e-06	[O III] 5007 26%	3.24647402141	0.52729634731	0.176014405061	1.00625820278	1.01846064855	6.10039973262	0.0386447047864	0.00242788039398
-90	S30-20	52.65	0.0935600116712	2.51482666549	0.00021296325607	3.20925183251e-06	H I 4861 22%	13.5518706214	0.420992393922	0.734743117968	0.995329220194	0.999539631107	32.0664542821	0.0382801952074	0.0271586260438
-90	S60-20	52.65	0.0528054469284	1.63271338656	0.000197477157202	3.84044880465e-06	[O III] 5007 24%	5.74090314193	0.47477177228	0.311255116898	0.997095274074	0.98118411634	7.92680528471	0.0318518009247	0.0124599495104
-90	S90-20	52.65	nan	1.164754953	0.000210862960139	2.7499835037e-06	[O III] 5007 25%	3.09905305513	0.462350515783	0.168021667863	1.00405032536	1.01352171163	4.661795374	0.035091410572	0.00861440424097
-90	S30-21	65.65	0.0990671547188	2.35565228397	0.000207743620894	1.8552458847e-06	[O III] 5007 24%	6.51575365951	0.388871259502	0.353265264511	0.991818035888	0.978354995255	13.0643033333	0.0320439746919	0.00310352180676
-90	S60-21	65.65	0.058923794594	1.28202277897	0.000176477124822	8.42861295638e-07	[O III] 5007 23%	5.61353183107	0.0	0.304349413863	0.982985487031	0.984891535669	6.86740464179	0.0332219829615	0.00111914090115
-90	S90-21	65.65	nan	0.614663888926	0.000137766607652	7.29109029166e-05	[O III] 5007 22%	2.14842468772	0.322457244166	0.116481355074	0.984136478365	0.986636607678	1.72639433334	0.0234285565299	0.239796498856
-90	S30-22	78.65	0.214761539729	1.83820738551	0.000201583665043	1.3454251173e-05	[O III] 5007 24%	5.56501208855	0.37571600215	0.301718814154	0.996736891265	0.993119142958	9.84251706941	0.0329594629946	0.00319364317354
-90	S60-22	78.65	nan	1.13927635316	0.00019978699839	3.15610275702e-06	[O III] 5007 23%	4.39707343409	0.451666935094	0.238396567909	0.995908944859	0.975564053717	4.88229478775	0.0331940492463	0.0169112305621
-90	S90-22	78.65	nan	0.635837379482	0.000128058378793	4.30731758682e-05	He I 6678 22%	2.42007845519	0.438353485897	0.131209634416	0.981974141564	0.966543257601	1.41919807893	0.022694625033	0.00316902966207
