Section	Sum(E/W)	dSum	Strongest	E5755	dE5755	E/W 5755	k5755	kk5755	F5755
red-0266-0533	0.000181294048119	6.29316645247e-07	He I 6678 40%	11.9821241574	0.111605065309	0.649636017729	1.06020856638	1.70769031471	41.4820600598
red-0462-0577	7.11511383115e-05	3.14140919267e-07	He I 6678 42%	5.01143399785	0.0804134476269	0.271705415727	1.00103522533	1.00229476763	16.9771817413
red-0517-0412	0.000197987611791	1.00868468079e-06	He I 6678 41%	6.78828600768	0.148970928927	0.36804117795	1.05211542772	1.66636102849	42.6197294894
red-0482-0532	5.48523165145e-05	3.24273080336e-07	He I 6678 42%	4.24383759217	0.0522675894934	0.23008856502	1.00383779063	1.03215329811	38.4910793412
red-0603-0382	0.000214312224933	5.29927630511e-07	He I 6678 38%	4.89643717927	0.0875101158424	0.265470621771	1.02244912258	1.18639169692	39.7478979824
red-0568-0322	6.23568035509e-05	2.55853663018e-07	He I 6678 46%	4.4478308695	0.0577791472562	0.241148488835	1.00426256307	1.0052987527	50.1547160017
red-0477-0648	0.000128933102773	6.87604576649e-07	He I 6678 44%	4.17415629133	0.133476471273	0.226310646999	1.01273380969	1.0450616861	13.2795586276
red-0227-0402	8.42522543277e-05	3.51074003942e-07	He I 6678 48%	16.1055010215	0.0786982562321	0.873193551469	1.00658322954	1.00334952078	433.920153251
red-0175-0731	6.90807276606e-05	1.3769770395e-07	He I 6678 50%	3.66295154027	0.0627858639241	0.198594608143	1.00490601196	0.999920690853	64.4635883829
red-0266-0234	6.81187817644e-05	2.54144111718e-07	He I 6678 40%	9.79697049901	0.0757938092136	0.531163324398	1.00025521519	1.012701086	87.6505043062
red-0268-0411	6.83494119313e-05	1.67082000079e-07	He I 6678 45%	10.5294262089	0.050262025274	0.570874948506	1.00399285805	1.00688476148	102.435606114
red-0465-0442	0.00018692689493	9.99660989454e-07	He I 6678 42%	6.83993326062	0.13144763542	0.370841342202	1.05143491886	1.64579419956	43.6984976773
red-0396-0562	5.87135194118e-05	3.21761278286e-07	He I 6678 45%	4.42537715441	0.0522870972602	0.23993111353	1.00194055881	1.02096168727	44.9256876486
red-0318-0384	6.98279350557e-05	1.99710392553e-07	He I 6678 45%	11.230750368	0.0679549696562	0.608898710224	1.00142689384	1.02601657203	79.5085144808
red-0378-0412	0.000100954395107	3.52012510063e-07	He I 6678 49%	4.27742747744	0.0628389931205	0.231909711172	0.998550290141	0.900163159119	49.4467694306
red-0251-0381	7.4370921153e-05	1.86664922e-07	He I 6678 46%	12.9214886211	0.0643402415072	0.700565634332	1.00463294916	1.00653717828	135.627717867
red-0330-0522	6.58728376583e-05	2.18497292306e-07	He I 6678 48%	5.10892347549	0.074249118375	0.276991012437	1.00452475089	1.007575047	77.6111007933
red-0227-0582	6.60328124449e-05	2.25299787587e-07	He I 6678 48%	5.24256837031	0.0618047632875	0.284236850998	1.00212513315	0.961041208383	102.210530599
red-0227-0583	6.71998165442e-05	2.6717575414e-07	He I 6678 46%	6.57459459483	0.0530221331549	0.356455449356	1.00051780388	0.996230136428	34.5682057549
red-0165-0770	5.71810501997e-05	1.79183518359e-07	He I 6678 49%	2.8957245499	0.0699352310379	0.156997786062	1.00436809187	1.01327851077	18.5690369806
red-0672-0203	6.73887374504e-05	2.72429881415e-07	He I 6678 44%	5.02639887884	0.0565997487478	0.272516768168	0.997724498935	0.979312235305	52.1379602222
red-0197-0713	6.29319556598e-05	1.73645305894e-07	He I 6678 52%	3.27987447449	0.0458141019899	0.177825280749	1.00061187664	1.0139066585	17.4331552862
red-0148-0501	7.58995369809e-05	1.59257961915e-07	He I 6678 44%	10.1047448443	0.0606625618108	0.547849956701	1.00437317543	1.01144729652	95.7714455051
red-0214-0444	0.000126744413887	3.35139681175e-07	He I 6678 40%	16.4567032091	0.119882287359	0.892234715423	1.03493998185	1.39118729004	79.9604522603
red-0286-0441	6.45553050813e-05	2.05247743722e-07	He I 6678 47%	8.33089239682	0.0575196543074	0.451676822048	1.0042325372	0.999319244429	73.8443875283
red-0369-0414	6.07898115725e-05	2.84293375556e-07	He I 6678 48%	5.80384520384	0.0608301268604	0.314667652931	1.00064887786	1.00374126802	31.939287067
red-0156-0191	5.24108179635e-05	2.43033891641e-07	He I 6678 53%	4.79328396283	0.0541808719679	0.259877953571	1.00414843402	1.01482616704	141.434258671
red-0479-0607	7.4445920761e-05	2.53115794194e-07	He I 6678 41%	4.80242296528	0.107300249328	0.260373443777	1.00085430548	0.999562476171	15.2858165233
red-0361-0382	5.21053810194e-05	2.07855274769e-07	He I 6678 45%	7.84499658452	0.0649467414618	0.425332960444	0.994407728203	0.960179847263	92.3296271886
red-0215-0473	0.000181055677208	1.18708845841e-06	He I 6678 42%	18.0767959721	0.118102216788	0.980071445959	1.06327983784	1.77619526273	71.7347417751
red-0507-0359	7.03564619429e-05	2.91563486482e-07	He I 6678 49%	4.52807416726	0.0497002021142	0.245499047695	1.00456650855	1.01048410976	67.4462918898
red-0148-0680	5.7144262571e-05	1.37407394651e-07	He I 6678 49%	4.1500978694	0.0670269582469	0.225006269143	1.00009199341	0.986197624917	32.9180024542
red-0292-0322	6.88306190908e-05	2.19720194438e-07	He I 6678 43%	16.061254666	0.0774704747555	0.870794642409	0.998151308766	0.967127813994	286.759760306
red-0283-0384	7.23450887941e-05	1.97434970682e-07	He I 6678 43%	12.5006769046	0.0530579492781	0.677750443625	1.00085935622	1.01706124088	94.0938319005
red-0148-0262	6.79519210383e-05	2.16480636663e-07	He I 6678 44%	8.79684071521	0.0525781417391	0.476939188391	1.00421239377	1.00996727923	109.676732582
red-0278-0552	7.37466747691e-05	4.13909357797e-07	He I 6678 46%	7.52012763602	0.0549146051097	0.407719508337	1.00454452132	1.00383537524	138.147366902
red-0261-0641	7.05765982622e-05	2.26202533257e-07	He I 6678 46%	5.60174394622	0.0555855868054	0.303710308937	1.00436462056	1.00308783734	98.1426844173
red-0542-0359	6.79652074885e-05	1.71166911112e-07	He I 6678 48%	5.2675835093	0.0647654083217	0.285593099277	1.00297161981	0.968883378813	80.0699441151
red-0318-0683	6.24002460561e-05	2.39888082715e-07	He I 6678 52%	3.10760104186	0.0532550557575	0.16848511491	1.00097766544	1.01739097043	16.1159687016
red-0234-0770	6.11337558361e-05	1.68463549684e-07	He I 6678 54%	2.9440884513	0.0606827400391	0.159619936517	1.00396740344	1.00585319505	22.5285745856
red-0251-0680	6.1325569144e-05	2.00827237748e-07	He I 6678 50%	4.00072171127	0.0529791755055	0.216907527114	1.0042350484	1.00209101651	31.1005752283
red-0318-0563	5.73722068241e-05	2.4184249584e-07	He I 6678 47%	5.40696374752	0.0592807344738	0.293149891522	0.998907919239	1.00372979705	24.9190065139
red-0214-0384	7.56860363947e-05	2.062966845e-07	He I 6678 47%	14.7377876455	0.0629822871754	0.799040099265	1.00173693776	1.02515684295	120.383377386
red-0655-0352	5.18430675619e-05	1.97948148686e-07	He I 6678 44%	3.95720731155	0.0753786175225	0.214548302575	0.995734918404	0.981515678816	40.1318454443
red-0148-0740	5.48597413678e-05	1.75744998625e-07	He I 6678 50%	3.16588499721	0.0628341086341	0.171645101917	1.00190132484	0.991187082628	23.1880903877
red-0286-0680	5.88859096336e-05	1.63828012051e-07	He I 6678 50%	3.64025225375	0.0641041918306	0.197363918667	1.00456990869	1.00224908729	27.293332125
red-0189-0263	8.07399480874e-05	3.32701352806e-07	He I 6678 39%	11.254405156	0.0498762533852	0.610181204218	1.00353404858	1.00708741175	228.200505306
red-0586-0352	6.85939672715e-05	2.83630570121e-07	He I 6678 45%	5.64094140367	0.0506985407302	0.305835481388	1.00352167194	0.998504174994	57.0733846727
red-0534-0502	5.03636573585e-05	2.14260064005e-07	He I 6678 43%	4.01770076445	0.045461289295	0.21782808213	0.997102375632	0.987272068993	40.7513845595
red-0531-0577	7.68278847136e-05	3.33457039195e-07	He I 6678 42%	4.87950718527	0.0939518782992	0.264552726602	1.00165337385	1.00416070919	16.607627015
red-0180-0623	0.000136761171613	4.94002994903e-07	He I 6678 48%	5.88264536558	0.070924556826	0.318939969141	1.00938347806	0.995706228416	34.0922697857
red-0223-0382	6.57582992147e-05	2.58541822801e-07	He I 6678 47%	11.7175465635	0.0673074328218	0.635291387993	1.0026700697	1.00120738672	241.078997184
red-0303-0531	6.02919169475e-05	1.50064527204e-07	He I 6678 47%	5.05518443848	0.0608680662089	0.27407743772	1.00356088027	1.00026134463	35.4613506989
red-0506-0342	5.6806285389e-05	2.6930935282e-07	He I 6678 46%	3.21064025594	0.118704322129	0.174071602233	1.00422646967	1.01948535673	11.3098816697
red-0344-0412	5.62692594461e-05	2.07256489027e-07	He I 6678 47%	6.55874953816	0.0512166173953	0.355596376342	1.00055786247	0.984611907761	95.1966142769
red-0145-0623	6.01739358599e-05	1.95357481815e-07	He I 6678 49%	6.53384139795	0.0564481821366	0.354245929226	0.996894564755	0.97534881594	37.2473896354
red-0278-0611	7.16650508693e-05	4.24100904988e-07	He I 6678 46%	6.11786424577	0.0763717939372	0.331692854574	1.0049191175	0.997546258692	109.546716554
red-0217-0381	7.48196711866e-05	1.95723066338e-07	He I 6678 47%	13.6741571637	0.081316884178	0.7413731396	1.00506118495	1.0088537357	155.067448053
red-0309-0532	6.33192670213e-05	2.30983785966e-07	He I 6678 47%	5.76237518901	0.0527544854775	0.312419269011	1.00361670326	1.00572078687	62.2835914388
red-0482-0292	7.29902884242e-05	3.73505232171e-07	He I 6678 42%	7.31312372361	0.0537936069426	0.396496356619	1.00292196989	1.00123417556	86.658500714
red-0517-0532	3.286492172e-05	1.49603449762e-07	He I 6678 42%	2.33004464613	0.0393157374515	0.126328262432	0.998722962402	1.00806681942	39.2926924446
red-0551-0532	4.91549286934e-05	2.2761416552e-07	He I 6678 42%	3.33528043592	0.048641969522	0.180829231273	1.00082564751	1.02799115383	29.1240631786
red-0320-0501	5.89420430982e-05	1.90907996359e-07	He I 6678 48%	4.52579495058	0.0695672384743	0.245375475177	1.00353728035	1.00636754203	31.6033651768
red-0145-0743	6.15423287966e-05	2.12950649103e-07	He I 6678 50%	3.72963747738	0.0457363323618	0.202210126231	1.00125984138	1.00935756529	16.3473989646
red-0249-0743	6.31695747611e-05	1.79804814518e-07	He I 6678 53%	3.03121776909	0.0443676387297	0.16434383541	1.00094733442	1.02350952057	16.3426689074
red-0217-0441	6.99546528392e-05	1.84226581572e-07	He I 6678 43%	12.2203691579	0.0851006350781	0.662552970627	1.00456628034	1.01706309159	109.573292715
red-0296-0701	6.84594744283e-05	2.98320902602e-07	He I 6678 52%	3.57111099792	0.0553648866368	0.193615280319	1.00453741085	1.00304903231	61.0675867552
red-0320-0620	2.9705217848e-05	8.51303332754e-08	He I 6678 46%	2.73404544203	0.0564849119156	0.148232013783	1.00844434411	1.02610537067	31.8568637987
red-0327-0562	5.89306853805e-05	3.18597351489e-07	He I 6678 47%	4.30523135271	0.0496350412998	0.233417156644	1.00343601805	1.00375850962	44.0092598293
red-0352-0444	5.99682330283e-05	2.16561054039e-07	He I 6678 50%	5.60479124431	0.0449972615242	0.303875524601	1.00043696852	1.02176621925	29.3840551173
red-0130-0411	7.24103430277e-05	2.55873791015e-07	He I 6678 41%	7.22978513786	0.063925078496	0.391977980223	1.0083235437	1.00433383521	73.7201878372
red-0413-0532	4.12417518685e-05	2.03016650138e-07	He I 6678 45%	2.80960653583	0.0427774925754	0.152328717125	0.999643658692	0.978224677585	35.229279399
red-0192-0402	8.24715951658e-05	3.9678670449e-07	He I 6678 40%	17.1444442227	0.0750038914134	0.929522038387	1.00534326512	1.01039441821	407.807491319
red-0234-0710	6.06413393313e-05	1.40419699233e-07	He I 6678 52%	3.26908149558	0.0661095949061	0.177240116737	1.0037755402	1.00500417584	25.942550177
red-0180-0504	7.48331502098e-05	2.25753125291e-07	He I 6678 45%	9.91008440555	0.0636544795306	0.537296032324	1.00134631059	1.03542411565	68.887855143
red-0404-0593	6.59178802385e-05	2.53752763447e-07	He I 6678 44%	5.19418637441	0.0440543904825	0.281613719511	1.00021118832	1.02047293839	22.0981998895
red-0413-0352	5.55784823875e-05	2.13516718977e-07	He I 6678 46%	5.59014952995	0.053536985886	0.303081693316	0.995964863015	0.948225205081	60.1576494569
red-0244-0671	6.99415583676e-05	1.40434641133e-07	He I 6678 49%	4.71652812922	0.0521500114581	0.255716474902	1.00451857734	0.996876735925	85.8856204775
red-0162-0354	6.45032121635e-05	2.17037129807e-07	He I 6678 42%	8.9823230953	0.0610991837859	0.486995505049	0.997892577181	0.996148222244	60.0892783345
red-0249-0563	6.11666683674e-05	2.05465089027e-07	He I 6678 47%	6.80096454615	0.0420551781998	0.368728571532	0.999188827793	1.00085552253	37.5681398147
red-0244-0372	7.96539747355e-05	3.01829139844e-07	He I 6678 48%	14.157594312	0.0949507522192	0.767583699573	1.00610712337	0.999430124954	399.334298139
red-0249-0205	8.15050445582e-05	3.08668814782e-07	He I 6678 38%	10.8977678255	0.040045150921	0.590845362585	1.00044874583	1.00796892166	119.061444415
red-0165-0291	7.51508128219e-05	2.08642571368e-07	He I 6678 41%	11.0810718422	0.084406844714	0.600783574694	1.00395027872	0.992441782474	134.031555257
red-0234-0650	6.03037965193e-05	1.70620846082e-07	He I 6678 48%	4.34523126868	0.0639889070909	0.235585836068	1.00391909023	1.00514702985	33.516907262
red-0234-0471	6.09831478585e-05	1.54389837736e-07	He I 6678 43%	7.99740792027	0.0557199417728	0.433596260999	1.00403600819	1.00032743952	63.0552636961
red-0162-0294	7.78087406778e-05	2.41963425215e-07	He I 6678 40%	10.7182503588	0.0456807709193	0.581112446229	1.00077237276	1.02075340949	91.505057785
red-0214-0563	0.000119148395098	4.26056170142e-07	He I 6678 46%	5.26178546985	0.0589238500506	0.285278746395	1.00629276943	0.976591169557	29.2785361989
red-0192-0462	7.93660432622e-05	2.47272883152e-07	He I 6678 44%	12.4306566532	0.0565320381672	0.673954148685	1.00646656261	0.996155392851	268.768528817
red-0162-0593	6.18718723888e-05	2.31996286018e-07	He I 6678 48%	5.53211285029	0.048306114187	0.29993511288	1.00192941043	1.03547053416	32.0486843587
red-0227-0462	7.85052925209e-05	2.73774375953e-07	He I 6678 42%	14.2179188698	0.0731146903576	0.770854322128	1.0053556472	1.0132943099	284.58746609
red-0413-0233	5.90726180751e-05	1.66961572501e-07	He I 6678 43%	7.56384941385	0.0588726039706	0.410089976316	0.995429698306	0.990213710637	116.042998609
red-0479-0547	7.39538593732e-05	2.91901637176e-07	He I 6678 41%	6.06858959042	0.0834050762086	0.329021325682	1.00038662168	0.984003471537	20.0985016626
red-0447-0472	4.95049978934e-05	1.83323006347e-07	He I 6678 45%	4.18572024667	0.0485681331697	0.226937611116	0.998335756309	0.970067896109	42.6936064162
red-0192-0283	8.27707893219e-05	3.23031133422e-07	He I 6678 41%	11.5300405656	0.0840251576326	0.62512535665	1.00537638157	0.995242713839	361.6523078
red-0192-0761	6.75252136005e-05	2.77533251205e-07	He I 6678 49%	3.31376922806	0.0583926017198	0.179662955976	1.00455575552	1.00496014614	51.8558733463
red-0275-0472	5.17111871887e-05	2.06941270758e-07	He I 6678 44%	6.47261001101	0.0461311361043	0.350926141027	1.00189271604	1.0199404563	79.4428061658
red-0689-0472	5.93943664113e-05	3.02105018471e-07	He I 6678 44%	3.89118963562	0.0504441641038	0.210969015669	1.00200757139	1.01548539824	37.9897499253
red-0672-0502	3.91278261349e-05	1.94525753254e-07	He I 6678 45%	2.1623865976	0.0445294661129	0.117238329332	0.998470997023	0.983683967796	26.4524126929
red-0182-0441	7.33162926621e-05	2.0413187762e-07	He I 6678 43%	12.6750294999	0.0861240514016	0.68720333563	1.00460900572	1.0203726859	122.311826964
red-0404-0533	6.29546711103e-05	1.9635581272e-07	He I 6678 44%	4.86269395145	0.0556348718099	0.263641161831	1.00046263191	1.01913898683	20.666934599
red-0227-0342	8.33522232937e-05	6.7286910872e-07	He I 6678 44%	16.2386321391	0.048157925218	0.880411534519	1.0057364964	0.992355526814	480.52487107
red-0620-0412	0.000174082975442	6.39140747308e-07	He I 6678 40%	5.69804089533	0.141841446177	0.308931250209	1.04751080182	1.64439815039	33.9910208999
red-0482-0591	5.46788207237e-05	2.42130076848e-07	He I 6678 42%	3.79902485433	0.0514970005519	0.205972108551	1.00399725191	1.00447773867	30.783661125
red-0568-0502	4.56279972373e-05	1.9484779004e-07	He I 6678 46%	3.01263034099	0.0735963353692	0.163336078971	0.993663204831	0.963042121373	27.6289547512
red-0197-0773	6.50674674483e-05	2.01125865113e-07	He I 6678 47%	3.2412100209	0.0448842284259	0.175729006221	1.00148063163	1.02763443574	15.0513611739
red-0706-0322	5.86997603673e-05	2.04158755699e-07	He I 6678 45%	4.69831747789	0.0566128642662	0.254729146207	0.99964152394	0.98717818876	51.8375855846
red-0286-0560	6.01200382833e-05	1.47743252694e-07	He I 6678 47%	5.29144908244	0.0668312013941	0.286887021431	1.00453773603	1.02695739803	39.9051788638
red-0266-0294	7.34238414754e-05	2.30243544032e-07	He I 6678 40%	14.5087696924	0.115172262567	0.786623410115	1.00096118602	1.01902165271	122.666568041
red-0268-0471	5.78426428885e-05	2.0383988043e-07	He I 6678 46%	6.94744016887	0.062296340348	0.376670054944	1.00423226804	1.01040716131	53.977571673
red-0706-0442	2.62610330945e-05	8.95955643688e-08	He I 6678 44%	1.33141112233	0.0313831265895	0.072185249302	0.99396318382	1.00999647825	34.1520190481
red-0146-0473	7.81821441368e-05	2.0068523815e-07	He I 6678 43%	11.6531193972	0.0537742307486	0.631798333905	1.00147110911	1.02628836107	79.0392465691
red-0335-0474	7.27185173158e-05	2.42382384326e-07	He I 6678 47%	4.95219081781	0.0564279083317	0.26849342234	0.999774022977	0.984052716597	27.1352418787
red-0425-0618	7.04961017142e-05	2.48690662881e-07	He I 6678 45%	4.21881421516	0.0897054672645	0.228731870098	1.00056977963	1.00891261061	15.0649692365
red-0148-0321	7.65629813461e-05	1.90976331709e-07	He I 6678 43%	11.1876679079	0.0761788280087	0.606562904196	1.00469881625	1.01683620003	128.005826467
red-0266-0593	6.23252358076e-05	1.89590192101e-07	He I 6678 46%	6.23345026863	0.0451764456142	0.337959593477	1.00032288877	1.0163375994	34.0194626632
red-0640-0330	4.2869726943e-05	2.08279254875e-07	He I 6678 45%	2.90692948628	0.0502552673562	0.157605285213	1.00452698587	1.01639987723	53.2564415639
red-0300-0414	6.63937334234e-05	3.0387321084e-07	He I 6678 48%	10.6556913776	0.0599264898205	0.57772067972	0.999461408827	1.0119901169	75.3559334214
red-0227-0761	6.81706517621e-05	1.91306139196e-07	He I 6678 52%	3.15993900308	0.0594103801228	0.171322727361	1.00512035273	1.0140188298	54.270016362
red-0268-0590	6.11651105328e-05	1.81925395172e-07	He I 6678 46%	5.24593811006	0.0610728875096	0.284419548513	1.00434237235	1.00512926939	42.1189329607
