PA	Section	x0	FQ674N	F547M	Sum(E/W)_1	dSum_1	Strongest	E6731	dE6731	E/W 6731	k6731	kk6731	F6731	Sum(E/W)_2	dSum_2
-90	S30-15	-12.35	nan	nan	0.0119692863521	0.000288256626254	[S II] 6716 99%	39.6238946366	0.576424896433	2.24126136795	1.13601381826	1.38522109074	78.5356433454	0.0388298958102	0.0109334236352
-90	S60-15	-12.35	nan	nan	0.0128166004897	0.000249690309102	[S II] 6716 99%	42.0835092118	0.526600395352	2.38038547925	1.08128112428	1.29967810901	84.0424728069	0.0357570296417	0.0531235498156
-90	S90-15	-12.35	nan	nan	0.0175843237688	0.000237989590733	[S II] 6716 99%	60.4302133755	0.490393814879	3.41813705941	1.03219609062	1.26871310692	103.689199586	0.0321321542111	0.00137749623162
-90	S30-16	0.65	nan	nan	0.0106697710736	0.000253496444634	[S II] 6716 99%	38.6932561076	0.530219876927	2.18862130816	1.20107856456	1.45699739589	78.7125239431	0.0373206646808	0.00180401422675
-90	S60-16	0.65	0.20815065863	nan	0.0160126568022	0.000275883016276	[S II] 6716 99%	57.2978052207	0.575014434517	3.24095746991	1.0592555641	1.29656645321	100.51120562	0.0314372373282	0.00230095388871
-90	S90-16	0.65	nan	nan	0.0169651058182	0.000355885604865	[S II] 6716 99%	60.0027871928	0.729496980889	3.39396039026	1.0787731897	1.31136224792	109.793032289	0.0327102683402	0.00371269140739
-90	S30-17	13.65	nan	nan	0.0137120970275	0.000315420876557	[S II] 6716 99%	54.8243410203	0.659339108261	3.10104997701	1.18633112206	1.39593468769	132.206779961	0.0425035519936	0.00507764587552
-90	S60-17	13.65	0.22534312641	nan	0.0179537575494	0.000295128372441	[S II] 6716 99%	69.2185328707	0.616001758157	3.91523410538	1.09698464967	1.35222323086	118.722438491	0.0332174998789	0.00643005294314
-90	S90-17	13.65	nan	nan	0.0144281545477	0.00032622654975	[S II] 6716 99%	47.2631075882	0.650663538653	2.67336106504	1.09278977791	1.34096725704	68.0211068519	0.0306708509465	0.000982901591929
-90	S30-18	26.65	0.528888611427	4.43502713685	0.0174732977943	0.000322703998331	[S II] 6716 99%	73.3543414444	0.647141589678	4.14916941302	1.15689478039	1.34995525042	211.321467185	0.0411971485093	0.0175679396709
-90	S60-18	26.65	0.21497038148	2.67940609931	0.0151488393236	0.00028436761192	[S II] 6716 99%	57.7294184228	0.578524973176	3.26537097102	1.12127681659	1.34162832308	112.908832357	0.0376657208193	0.0133567312973
-90	S90-18	26.65	nan	nan	0.0135880242373	0.000226375463589	[S II] 6716 99%	43.5869608629	0.465009946025	2.46542578473	1.09646370867	1.30704256675	67.2922319969	0.035459037018	0.00185670685244
-90	S30-19	39.65	0.359081267471	3.26383757847	0.0179467874994	0.000311268487261	[S II] 6716 99%	76.4497973685	0.634225138442	4.32425885949	1.13416416554	1.35645437204	237.083047634	0.037952587851	0.00191436510056
-90	S60-19	39.65	0.176012630854	1.97536348897	0.0136323795334	0.000334182964005	[S II] 6716 99%	52.2872288193	0.652699314123	2.95754233814	1.07290970865	1.27986138629	83.6649883665	0.0335188505824	0.00671472450714
-90	S90-19	39.65	nan	2.36274796344	0.0135857643779	0.000202216493852	[S II] 6716 99%	44.0174147345	0.426616390988	2.48977371019	1.09785794778	1.29389584211	77.1552163923	0.0386447047864	0.00242788039398
-90	S30-20	52.65	0.23503045817	2.51482666549	0.0178961490907	0.000314346556628	[S II] 6716 99%	72.1136409215	0.648509118741	4.07899119917	1.05967109384	1.29690157024	155.31750291	0.0382801952074	0.0271586260438
-90	S60-20	52.65	0.143829628234	1.63271338656	0.0158450013454	0.000288963303022	[S II] 6716 99%	55.9987712098	0.590020134214	3.16747971688	1.05837467608	1.3174774424	70.1670893391	0.0318518009247	0.0124599495104
-90	S90-20	52.65	nan	1.164754953	0.0145222061002	0.000205413299924	[S II] 6716 99%	45.0833694363	0.41801926866	2.55006770993	1.09731323716	1.28387690801	63.3630559729	0.035091410572	0.00861440424097
-90	S30-21	65.65	0.223875271958	2.35565228397	0.0159759925565	0.000244894478763	[S II] 6716 99%	59.6094569933	0.503669792566	3.37171230514	1.02538883006	1.26448593655	105.645777069	0.0320439746919	0.00310352180676
-90	S60-21	65.65	0.115534210012	1.28202277897	0.0163088935739	0.000228451915433	[S II] 6716 99%	51.8446236329	0.464500040576	2.93250709326	1.07077764962	1.32144176996	59.070287544	0.0332219829615	0.00111914090115
-90	S90-21	65.65	nan	0.614663888926	0.012944187718	0.000175068080315	[S II] 6716 99%	37.7229384174	0.366677780819	2.13373686095	1.08493915435	1.41137396008	28.5707167891	0.0234285565299	0.239796498856
-90	S30-22	78.65	0.192684002481	1.83820738551	0.0156533810852	0.000233281323581	[S II] 6716 99%	53.9208304767	0.479313239907	3.04994436775	1.06972186469	1.32384491638	87.5085538995	0.0329594629946	0.00319364317354
-90	S60-22	78.65	nan	1.13927635316	0.0180733514231	0.000329176019785	[S II] 6716 99%	56.2695076068	0.668285689603	3.1827934823	1.03338368483	1.29802274987	55.4299390893	0.0331940492463	0.0169112305621
-90	S90-22	78.65	nan	0.635837379482	0.0126547751132	0.000537554060498	[S II] 6716 100%	35.5516827918	0.4696098982	2.01092330619	1.07860532821	1.43760349663	19.577265527	0.022694625033	0.00316902966207
-90	S30-23	91.65	nan	1.31819823576	0.0193440503137	0.000230424310697	[S II] 6716 100%	60.327851573	0.46589150238	3.41234712998	1.07602678232	1.35502780623	73.262679198	0.0346070756781	0.010242627316
-90	S60-23	91.65	nan	1.00257782902	0.0198866545858	0.000279479907832	[S II] 6716 100%	56.4141607681	0.568750773681	3.19097555388	1.03253008856	1.32568831057	48.773247338	0.030085202697	0.00251434666974
-90	S90-23	91.65	nan	0.85743054465	0.0133887304621	0.000235490430849	[S II] 6716 99%	37.9440840286	0.513270497276	2.14624560396	1.1065481657	1.38113652987	22.5975332299	0.0264243191575	0.00128772786448
-90	S30-24	104.65	nan	1.08772303959	0.0208104045916	0.000238220908338	[S II] 6716 100%	62.2084355155	0.477123763855	3.51871931218	1.01541560064	1.3032163297	57.0200324744	0.0259675878299	0.00793420282873
-90	S60-24	104.65	nan	0.761380396408	0.0229133838094	0.00023956655477	[S II] 6716 100%	64.9255195688	0.497270224599	3.67240676713	1.04836212903	1.2846866578	47.2099335205	0.032471906685	0.0340613961596
-90	S90-24	104.65	nan	0.897441606441	0.0163997373516	0.000177410323647	[S II] 6716 99%	41.9603648471	0.362535051768	2.37342001788	1.02776015024	1.24892254828	30.3924824284	0.0298587281086	0.0216245081983
