PA	Section	x0	FQ672N	F547M	Sum(E/W)_1	dSum_1	Strongest	E6716	dE6716	E/W 6716	k6716	kk6716	F6716	Sum(E/W)_2	dSum_2
-90	S30-15	-12.35	nan	nan	0.0502600578574	0.000724942835798	[S II] 6731 99%	25.4822183837	0.619714200078	1.30721678788	1.1327216403	1.44008992208	50.466998767	0.0388298958102	0.0109334236352
-90	S60-15	-12.35	nan	nan	0.0532967275209	0.00066231753637	[S II] 6731 99%	27.3329383482	0.536785213575	1.40215719577	1.07921638288	1.33586089094	54.5969716402	0.0357570296417	0.0531235498156
-90	S90-15	-12.35	nan	nan	0.0763218623162	0.000616806627271	[S II] 6731 100%	37.5998851343	0.510110679571	1.92884309874	1.0305769007	1.30347640091	64.5516156305	0.0321321542111	0.00137749623162
-90	S30-16	0.65	nan	nan	0.0491020068108	0.000666982206166	[S II] 6731 99%	22.6863670023	0.542341933327	1.16379191775	1.1966462859	1.51186192338	46.0776618667	0.0373206646808	0.00180401422675
-90	S60-16	0.65	0.172769139399	nan	0.0723665819197	0.00072315970056	[S II] 6731 100%	34.2330605725	0.593112240945	1.75612777534	1.05671388353	1.34721082175	60.03358555	0.0314372373282	0.00230095388871
-90	S90-16	0.65	nan	nan	0.0758043146119	0.000917450841336	[S II] 6731 100%	36.2620705189	0.765104892101	1.86021431227	1.0769128875	1.35516451024	66.3785397757	0.0327102683402	0.00371269140739
-90	S30-17	13.65	nan	nan	0.0693646392335	0.000829204622629	[S II] 6731 99%	29.2326563081	0.678117044189	1.49961116041	1.18298341246	1.42780647831	70.4444357386	0.0425035519936	0.00507764587552
-90	S60-17	13.65	0.2040366046	nan	0.0873801387034	0.000774716001021	[S II] 6731 100%	38.3908370467	0.634206494892	1.96941827954	1.09467570476	1.40639882276	65.8471836794	0.0332174998789	0.00643005294314
-90	S90-17	13.65	nan	nan	0.0597708711759	0.00081830525599	[S II] 6731 99%	30.8153226004	0.701346709286	1.58080063598	1.08999902245	1.37677893718	44.3303630646	0.0306708509465	0.000982901591929
-90	S30-18	26.65	0.39607519737	4.43502713685	0.0926544124036	0.00081398598075	[S II] 6731 100%	37.3180552878	0.69128771094	1.91438546004	1.15523591957	1.38015891931	107.580586199	0.0411971485093	0.0175679396709
