Section	Sum(E/W)	dSum	Strongest	E4861	dE4861	E/W 4861	k4861	kk4861	F4861
green-0211-0669	0.000664210552224	0.000205100158864	He I 4922 38%	458.486058036	0.925791232141	7.40150720749	1.1739499649	1.7515424002	3240.6847521
green-0457-0360	0.000569448543318	0.000425460927457	[O III] 4959 43%	522.339417754	1.37844280072	8.43231521985	1.16941195051	1.83076537729	2872.14882405
green-0538-0460	0.000417014106485	0.000405742613129	[O III] 4959 44%	388.354544919	1.25994578565	6.26934868118	1.14388544821	1.76672773882	2165.48155582
green-0141-0609	0.000396905904022	0.000471842078854	[O III] 4959 37%	336.607303925	1.21643789891	5.43397414693	1.75241448257	1.95468313125	3148.25454751
green-0508-0211	0.000517234807474	0.000464742075423	[O III] 4959 44%	473.197185182	1.33033690429	7.63899428414	1.0098620258	1.58637820393	3854.15505525
green-0453-0240	0.000502616369628	0.000549692650441	[O III] 4959 35%	390.149118413	2.14608895668	6.29831913385	1.18116200199	1.35218823375	3569.03056769
green-0713-0774	0.000284267495643	0.000179480507081	[O III] 4959 51%	324.777499657	0.750251464239	5.2430013136	1.20287356326	1.65984077076	994.502361203
green-0333-0598	0.000659143325191	0.000332201131329	He I 4922 45%	398.399963126	1.98647317159	6.43151552128	1.1362498792	1.31640743694	2811.55581896
green-0263-0389	0.000839547393248	0.000608992527617	He I 4922 49%	566.458317366	2.12492328249	9.14454266437	1.13833765361	1.34657044088	5442.93783217
green-0383-0430	0.00039331658837	0.000287754612191	[O III] 4959 47%	339.679647005	1.00431602568	5.48357209883	1.38943665703	2.1231715416	2410.20593047
green-0401-0449	0.000629084823951	0.000300396404875	He I 4922 46%	365.560731546	1.80407859511	5.90137986072	1.166880809	1.30179697065	2115.91395294
green-0229-0329	0.000714238432454	0.000933201783583	He I 4922 41%	514.570159737	3.6236702522	8.30689326165	1.0917366192	1.14665074218	5700.47580496
green-0453-0419	0.000699472269101	0.000597660214277	He I 4922 44%	412.614410818	3.14559930394	6.66098452082	1.12142091875	1.30760963299	2407.48403139
green-0193-0519	0.000714818638565	0.000356502952385	He I 4922 38%	506.147407577	1.51472947739	8.17092170978	1.09970252603	1.86991711058	3817.46237261
green-0508-0450	0.000376042861444	0.000301431432192	[O III] 4959 51%	403.876096001	1.14811412438	6.51991872619	1.15842143021	1.94853821648	2002.37457293
green-0712-0389	0.000746945834524	0.00100572925769	He I 4922 45%	460.479296694	1.38124645836	7.4336847842	1.15374728583	1.37663412644	2648.64139552
green-0469-0460	0.000807103829852	0.000824907520947	He I 4922 62%	366.015093066	1.39856216403	5.90871478402	1.16112710005	2.31468663709	1924.57817304
green-0560-0360	0.000606315847245	0.000399257575565	[O III] 4959 35%	466.4498966	1.08143885764	7.53007035026	1.13657100601	1.90109921658	2295.89575112
green-0228-0280	0.000516116535961	0.000385787572349	[O III] 4959 41%	470.318599968	1.0184995466	7.59252423596	1.13160244157	1.74954772126	5155.34413912
green-0297-0579	0.00046379408087	0.000173561767598	He I 4922 37%	325.764936153	1.07382271274	5.25894186011	1.74296759661	2.11664728799	3014.03232814
green-0293-0555	0.000657758037097	0.000295898216997	He I 4922 40%	436.876164373	1.52072167112	7.05265083358	1.19416358003	2.10686503791	2687.22711259
green-0331-0400	0.000611644104661	0.000204998255769	[O III] 4959 36%	483.925196165	1.22743346183	7.81218046772	1.14455780961	1.793491207	3984.0550534
green-0176-0370	0.000486167784793	0.000400868222425	[O III] 4959 36%	371.05950571	0.924933169496	5.99014857222	1.13546115504	1.88638441261	2850.81875993
green-0367-0509	0.000320676973151	0.000525404689075	[O III] 4959 51%	351.94471021	1.5509483055	5.68157147552	1.18350463875	1.33492081512	2073.90971185
green-0194-0515	0.000784083991107	0.000238576356843	He I 4922 41%	557.410094129	1.39664158797	8.9984739054	1.09558152889	1.62758263032	3982.08411587
green-0628-0190	0.000724217185834	0.000261115589824	He I 4922 39%	426.431873441	1.4121882908	6.88404484598	1.17059252012	1.39941616299	3242.92795206
green-0141-0191	0.000471690987442	0.000296556155401	[O III] 4959 47%	365.603830257	1.57400020888	5.9020756189	1.1512385143	1.51169326015	4498.06166671
green-0540-0389	0.000532097262376	0.000263622398235	He I 4922 44%	330.446219198	0.986076815741	5.33451351512	1.75557002524	1.4651676098	2896.68148694
green-0422-0300	0.000570092189264	0.000266479766616	[O III] 4959 36%	451.655938573	1.39766983882	7.29124610457	1.14683891115	1.92016924602	3038.5173957
green-0505-0389	0.000680972915344	0.00049604686685	He I 4922 46%	403.161837699	1.84133847159	6.50838819462	1.24087312857	1.42354636592	2960.12656048
green-0436-0210	0.000589888711917	0.000352362990673	He I 4922 37%	371.81675823	1.14784472217	6.00237317508	1.13740855284	1.35825661883	3611.14819522
green-0298-0539	0.000665506392969	0.000333756992905	He I 4922 39%	424.901737398	1.6547677752	6.85934330327	1.19723158249	1.40624857145	3145.75080805
green-0132-0207	0.000372668870953	0.000168799252194	[O III] 4959 38%	226.050974214	0.64585717547	3.64922310194	1.22803931484	1.6032741826	4294.34674
green-0229-0598	0.00069831691838	0.00061346836638	He I 4922 46%	427.184909072	1.67241129241	6.8962013741	1.14866012192	1.32222932898	3404.39752606
green-0487-0430	0.0005574244777	0.000293500878348	[O III] 4959 37%	430.433430786	1.20378689681	6.94864344177	1.11001002819	2.0154831596	2397.06031198
green-0540-0568	0.000567833897824	0.000389617022381	He I 4922 47%	363.647760953	1.34870782477	5.8704980806	1.18520053186	1.4165310433	1953.92253834
green-0577-0211	0.00042702508509	0.000154087633201	[O III] 4959 37%	335.410358549	1.18143042281	5.41465142235	1.74610333697	1.98979566795	2857.50610569
green-0316-0569	0.000641134083009	0.000311380081242	He I 4922 39%	413.278947127	1.65269196538	6.67171237217	1.17001780314	1.40859878382	2862.1798216
green-0211-0485	0.000513674658541	0.00041676656799	[O III] 4959 41%	478.350754708	1.20237011991	7.72219023159	1.1402616595	1.73199697532	3096.93814564
green-0660-0479	0.000567672056606	0.000534974897428	He I 4922 40%	382.498160105	2.56055131048	6.17480693088	1.18014879314	1.31174032095	1866.89684853
green-0609-0210	0.000711335475512	0.000467236858084	He I 4922 39%	463.249152071	2.56249454892	7.47839956707	1.1348952677	1.27707776645	3884.4139908
green-0488-0539	0.000466985093697	0.000286453368777	He I 4922 38%	331.829126676	1.14633561753	5.35683829355	1.17066521345	1.42112111561	1743.78936167
green-0297-0400	0.00074932715793	0.00025819668905	He I 4922 46%	466.486139635	0.954917785384	7.53065543475	1.14941961264	1.88897613301	4018.812198
green-0211-0250	0.000488067307734	0.000271455944321	[O III] 4959 45%	474.4592818	0.943125894867	7.65936876893	1.13370020343	1.75071324664	5798.11884589
green-0661-0624	0.000443608411037	0.000316518273895	[O III] 4959 41%	405.88483053	1.35818140083	6.55234645837	1.2018813316	1.69969727106	1447.94180702
green-0591-0359	0.000657103147824	0.000435874889116	He I 4922 41%	440.443615993	0.903819322355	7.11024150274	1.13903719273	1.56403027607	2899.10234753
green-0160-0299	0.000627439928337	0.000222190859545	He I 4922 39%	480.053516078	1.53648849998	7.74967852776	1.12183112816	1.48585675378	5758.43780955
green-0276-0585	0.000558507033935	0.000282507641518	[O III] 4959 42%	483.504800312	1.83314649703	7.80539386454	1.1903698836	1.99431938979	3006.50844726
green-0508-0330	0.000711489539594	0.000426090648286	He I 4922 36%	488.034693465	1.72419676002	7.87852157743	1.14143026956	1.55799120325	2797.82143432
green-0160-0359	0.00070060182666	0.000324066826309	He I 4922 45%	489.193837696	1.55592279182	7.89723406439	1.1138531526	1.3506433689	4883.69204519
green-0314-0609	0.000251695016441	0.0001757144484	[O III] 4959 39%	210.108460362	0.506958467102	3.39185730181	1.58881889198	1.44382807123	2670.31284713
