Section	Sum(E/W)	dSum	Strongest	E5007	dE5007	E/W 5007	k5007	kk5007	F5007
green-0245-0669	0.193589702092	0.13889391391	He I 5016 86%	1698.15319793	9.97812376319	23.4773219832	1.09481923298	4.38386642797	10896.0415126
green-0664-0300	0.878972130289	0.318942591366	He I 5016 97%	1579.49724809	9.29263687439	21.8368787399	1.08608974039	2.54497542669	7824.59878155
green-0349-0310	0.240133427374	0.074642819426	He I 5016 89%	1602.28245022	4.92814373813	22.1518889095	1.07624837973	2.63986564932	14687.8140183
green-0374-0207	0.246006367447	0.097376238281	He I 5016 97%	486.121967165	3.11968805959	6.72073754014	1.10575043831	1.73092884983	13138.6338068
green-0678-0329	0.244581903678	0.190121431951	He I 5016 89%	1544.02881492	10.9632838495	21.3465202571	1.0959045806	1.52512733162	8779.63054834
green-0211-0250	0.755109962504	0.220333521249	He I 5016 97%	1539.44590505	7.64315354083	21.2831605727	1.08030821975	2.09281993718	17405.6087949
green-0314-0549	0.630393215645	0.203072453397	He I 5016 97%	1130.9403703	6.04790508475	15.6354863917	1.4941165095	2.79249059404	8373.55529952
green-0418-0370	0.956562065566	0.393220382273	He I 5016 98%	1448.80154977	11.4348000399	20.0299834639	1.09027501673	2.85292677572	7924.23668302
green-0246-0485	0.669323054581	0.207415498213	He I 5016 97%	1217.97256574	6.52682601439	16.8387246377	1.08078948945	1.78632705678	6860.63958801
green-0630-0326	0.181498573741	0.134655701327	He I 5016 91%	960.142856867	10.4552666868	13.2741751616	1.11154883965	1.62717986697	8277.41554419
green-0470-0270	0.386364106894	0.29347767131	He I 5016 94%	1350.9632915	8.18613172272	18.6773491466	1.08494934692	1.58279951333	10624.4131143
green-0349-0549	0.165351742568	0.0923080097376	He I 5016 85%	1548.13615266	6.72712726493	21.4033050576	1.10970587548	5.15655380354	8342.34368388
green-0681-0270	0.526463181967	0.239543734553	He I 5016 95%	1440.34050094	8.04034542986	19.9130076999	1.08495923257	3.07220927303	7250.72582666
