PA	Section	x0	F673N	F547M	Sum(E/W)_1	dSum_1	Strongest	E6716	dE6716	E/W 6716	k6716	kk6716	F6716	Sum(E/W)_2	dSum_2
-90	S30-15	-12.35	nan	nan	0.298277670082	0.00419264708411	[S II] 6731 97%	25.4822183837	0.619714200078	0.212454567112	1.1327216403	1.44008992208	50.466998767	0.0388298958102	0.0109334236352
-90	S60-15	-12.35	nan	nan	0.315300408625	0.00383007337678	[S II] 6731 97%	27.3329383482	0.536785213575	0.227884695799	1.07921638288	1.33586089094	54.5969716402	0.0357570296417	0.0531235498156
-90	S90-15	-12.35	nan	nan	0.448808000639	0.00357610914904	[S II] 6731 98%	37.5998851343	0.510110679571	0.313483983198	1.0305769007	1.30347640091	64.5516156305	0.0321321542111	0.00137749623162
-90	S30-16	0.65	nan	nan	0.291291895431	0.0038753451935	[S II] 6731 97%	22.6863670023	0.542341933327	0.189144532404	1.1966462859	1.51186192338	46.0776618667	0.0373206646808	0.00180401422675
-90	S60-16	0.65	nan	nan	0.425348638205	0.00418053101822	[S II] 6731 98%	34.2330605725	0.593112240945	0.285413536425	1.05671388353	1.34721082175	60.03358555	0.0314372373282	0.00230095388871
-90	S90-16	0.65	nan	nan	0.445584241066	0.00530364277988	[S II] 6731 98%	36.2620705189	0.765104892101	0.302330133847	1.0769128875	1.35516451024	66.3785397757	0.0327102683402	0.00371269140739
-90	S30-17	13.65	nan	nan	0.408996032441	0.00479352172705	[S II] 6731 97%	29.2326563081	0.678117044189	0.24372333868	1.18298341246	1.42780647831	70.4444357386	0.0425035519936	0.00507764587552
-90	S60-17	13.65	nan	nan	0.512977990319	0.00448040867812	[S II] 6731 98%	38.3908370467	0.634206494892	0.320078438344	1.09467570476	1.40639882276	65.8471836794	0.0332174998789	0.00643005294314
-90	S90-17	13.65	nan	nan	0.352650267124	0.00473106919405	[S II] 6731 97%	30.8153226004	0.701346709286	0.256918605943	1.08999902245	1.37677893718	44.3303630646	0.0306708509465	0.000982901591929
-90	S30-18	26.65	1.55871635429	4.43502713685	0.54430184917	0.00472240884392	[S II] 6731 98%	37.3180552878	0.69128771094	0.311134264773	1.15523591957	1.38015891931	107.580586199	0.0411971485093	0.0175679396709
-90	S60-18	26.65	0.77163707007	2.67940609931	0.429874460953	0.00420605241256	[S II] 6731 98%	32.3360032421	0.611355748678	0.269597076183	1.11886887173	1.37693217438	63.2416615839	0.0376657208193	0.0133567312973
-90	S90-18	26.65	nan	nan	0.327393315567	0.00338198278074	[S II] 6731 97%	28.9635229556	0.486676324978	0.241479475566	1.09389394408	1.3467002502	44.7065647181	0.035459037018	0.00185670685244
-90	S30-19	39.65	1.08584831333	3.26383757847	0.567428842637	0.00461092266997	[S II] 6731 98%	38.3388557778	0.669186663209	0.319645051509	1.13201770754	1.39250133355	118.921668335	0.037952587851	0.00191436510056
-90	S60-19	39.65	0.586432902564	1.97536348897	0.389934816677	0.00474542031473	[S II] 6731 97%	29.0786095956	0.667877724027	0.242438994942	1.07133520525	1.32163580275	46.5582907252	0.0335188505824	0.00671472450714
-90	S90-19	39.65	0.696715513464	2.36274796344	0.33092021413	0.00310285608206	[S II] 6731 97%	28.9436800027	0.434736111398	0.241314037616	1.09569438066	1.33116157033	50.7407809567	0.0386447047864	0.00242788039398
-90	S30-20	52.65	0.750205644317	2.51482666549	0.5345079933	0.00471467216809	[S II] 6731 98%	38.2526091391	0.675794439437	0.318925981763	1.05841283061	1.34109898689	82.4654436877	0.0382801952074	0.0271586260438
-90	S60-20	52.65	0.473843952637	1.63271338656	0.416515961	0.00428952720647	[S II] 6731 98%	33.8561270734	0.621226828423	0.282270904093	1.0562329564	1.35611616122	42.4261687819	0.0318518009247	0.0124599495104
-90	S90-20	52.65	0.33557370863	1.164754953	0.337530872803	0.00303942753159	[S II] 6731 97%	30.993640456	0.441598029794	0.25840530707	1.09511917336	1.31624196719	43.5657713931	0.035091410572	0.00861440424097
-90	S30-21	65.65	0.72159588153	2.35565228397	0.442714306381	0.00366171290167	[S II] 6731 98%	34.1286772324	0.526489344565	0.284543254372	1.02451143297	1.30144490164	60.5629256602	0.0320439746919	0.00310352180676
-90	S60-21	65.65	0.38339762377	1.28202277897	0.385207215892	0.00337696269928	[S II] 6731 98%	34.8787428399	0.491141773698	0.290796825452	1.06889330562	1.36419369333	39.7545795502	0.0332219829615	0.00111914090115
-90	S90-21	65.65	0.17613259065	0.614663888926	0.281340555911	0.00266595550944	[S II] 6731 97%	27.6831894128	0.375911706765	0.230804866923	1.08293092072	1.46554201105	20.972752662	0.0234285565299	0.239796498856
-90	S30-22	78.65	0.604541499271	1.83820738551	0.40104434698	0.00348608240055	[S II] 6731 98%	33.4419008813	0.501032442338	0.27881734895	1.06799143966	1.3549373327	54.3000423111	0.0329594629946	0.00319364317354
-90	S60-22	78.65	0.361242648907	1.13927635316	0.418075959109	0.00485837104976	[S II] 6731 98%	38.6511296569	0.707687438913	0.322248592959	1.03199518773	1.33610159523	38.1041011091	0.0331940492463	0.0169112305621
-90	S90-22	78.65	0.195552665985	0.635837379482	0.265218131627	0.00803503554466	[S II] 6731 97%	27.0715270685	0.487601819659	0.225705214427	1.07534361208	1.49430695562	14.8941890842	0.022694625033	0.00316902966207
-90	S30-23	91.65	0.415724226732	1.31819823576	0.447350464815	0.00338703339563	[S II] 6731 98%	41.3837953635	0.495382407684	0.345031825604	1.07439408519	1.40126048434	50.2871276159	0.0346070756781	0.010242627316
